Country,Code,Year,Corruption Index
Colombia,COL,1996,-0.51
Mexico,MEX,1996,-0.51
Ghana,GHA,1996,-0.34
Myanmar,MMR,1996,-1.50
Guatemala,GTM,1996,-0.86
Saudi Arabia,SAU,1996,-0.16
Brazil,BRA,1996,-0.02
Kenya,KEN,1996,-1.16
Bolivia,BOL,1996,-0.82
Russian Federation,RUS,1996,-1.05
Singapore,SGP,1996,2.11
Denmark,DNK,1996,2.23
New Zealand,NZL,1996,2.11
Finland,FIN,1996,2.21
Switzerland,CHE,1996,1.99
Sweden,SWE,1996,2.17
Norway,NOR,1996,2.14
Netherlands,NLD,1996,2.08
Luxembourg,LUX,1996,1.95
Iceland,ISL,1996,1.73
Colombia,COL,1997,-0.50
Mexico,MEX,1997,-0.45
Ghana,GHA,1997,-0.26
Myanmar,MMR,1997,-1.34
Guatemala,GTM,1997,-0.86
Saudi Arabia,SAU,1997,-0.25
Brazil,BRA,1997,0.08
Kenya,KEN,1997,-1.15
Bolivia,BOL,1997,-0.36
Russian Federation,RUS,1997,-0.98
Singapore,SGP,1997,2.11
Denmark,DNK,1997,2.26
New Zealand,NZL,1997,2.21
Finland,FIN,1997,2.26
Switzerland,CHE,1997,2.11
Sweden,SWE,1997,2.23
Norway,NOR,1997,2.22
Netherlands,NLD,1997,2.15
Luxembourg,LUX,1997,1.94
Iceland,ISL,1997,1.97
Colombia,COL,1998,-0.40
Mexico,MEX,1998,-0.25
Ghana,GHA,1998,-0.10
Myanmar,MMR,1998,-1.39
Guatemala,GTM,1998,-0.75
Saudi Arabia,SAU,1998,-0.19
Brazil,BRA,1998,0.04
Kenya,KEN,1998,-1.06
Bolivia,BOL,1998,-0.46
Russian Federation,RUS,1998,-1.00
Singapore,SGP,1998,2.21
Denmark,DNK,1998,2.39
New Zealand,NZL,1998,2.25
Finland,FIN,1998,2.44
Switzerland,CHE,1998,2.11
Sweden,SWE,1998,2.30
Norway,NOR,1998,2.19
Netherlands,NLD,1998,2.21
Luxembourg,LUX,1998,2.05
Iceland,ISL,1998,2.27
Colombia,COL,1999,-0.24
Mexico,MEX,1999,-0.18
Ghana,GHA,1999,-0.33
Myanmar,MMR,1999,-1.32
Guatemala,GTM,1999,-0.65
Saudi Arabia,SAU,1999,0.20
Brazil,BRA,1999,0.08
Kenya,KEN,1999,-1.00
Bolivia,BOL,1999,-0.90
Russian Federation,RUS,1999,-0.93
Singapore,SGP,1999,2.32
Denmark,DNK,1999,2.37
New Zealand,NZL,1999,2.32
Finland,FIN,1999,2.43
Switzerland,CHE,1999,2.11
Sweden,SWE,1999,2.26
Norway,NOR,1999,2.17
Netherlands,NLD,1999,2.12
Luxembourg,LUX,1999,2.06
Iceland,ISL,1999,2.25
Colombia,COL,2000,-0.18
Mexico,MEX,2000,-0.17
Ghana,GHA,2000,-0.25
Myanmar,MMR,2000,-1.48
Guatemala,GTM,2000,-0.77
Saudi Arabia,SAU,2000,-0.15
Brazil,BRA,2000,0.09
Kenya,KEN,2000,-0.88
Bolivia,BOL,2000,-0.82
Russian Federation,RUS,2000,-0.76
Singapore,SGP,2000,2.23
Denmark,DNK,2000,2.42
New Zealand,NZL,2000,2.35
Finland,FIN,2000,2.44
Switzerland,CHE,2000,2.07
Sweden,SWE,2000,2.21
Norway,NOR,2000,2.07
Netherlands,NLD,2000,2.05
Luxembourg,LUX,2000,1.69
Iceland,ISL,2000,2.29
Colombia,COL,2001,-0.13
Mexico,MEX,2001,-0.30
Ghana,GHA,2001,-0.25
Myanmar,MMR,2001,-1.65
Guatemala,GTM,2001,-0.61
Saudi Arabia,SAU,2001,-0.29
Brazil,BRA,2001,0.02
Kenya,KEN,2001,-0.86
Bolivia,BOL,2001,-0.78
Russian Federation,RUS,2001,-0.80
Singapore,SGP,2001,2.33
Denmark,DNK,2001,2.43
New Zealand,NZL,2001,2.38
Finland,FIN,2001,2.44
Switzerland,CHE,2001,2.01
Sweden,SWE,2001,2.16
Norway,NOR,2001,1.94
Netherlands,NLD,2001,2.00
Luxembourg,LUX,2001,1.84
Iceland,ISL,2001,2.19
Colombia,COL,2002,-0.13
Mexico,MEX,2002,-0.27
Ghana,GHA,2002,-0.37
Myanmar,MMR,2002,-1.54
Guatemala,GTM,2002,-0.67
Saudi Arabia,SAU,2002,-0.10
Brazil,BRA,2002,-0.14
Kenya,KEN,2002,-1.00
Bolivia,BOL,2002,-0.74
Russian Federation,RUS,2002,-0.82
Singapore,SGP,2002,2.17
Denmark,DNK,2002,2.29
New Zealand,NZL,2002,2.20
Finland,FIN,2002,2.33
Switzerland,CHE,2002,2.02
Sweden,SWE,2002,2.02
Norway,NOR,2002,2.01
Netherlands,NLD,2002,1.97
Luxembourg,LUX,2002,1.66
Iceland,ISL,2002,2.31
Colombia,COL,2003,-0.12
Mexico,MEX,2003,-0.26
Ghana,GHA,2003,-0.02
Myanmar,MMR,2003,-1.66
Guatemala,GTM,2003,-0.81
Saudi Arabia,SAU,2003,-0.19
Brazil,BRA,2003,-0.11
Kenya,KEN,2003,-0.93
Bolivia,BOL,2003,-0.43
Russian Federation,RUS,2003,-0.91
Singapore,SGP,2003,2.19
Denmark,DNK,2003,2.47
New Zealand,NZL,2003,2.33
Finland,FIN,2003,2.46
Switzerland,CHE,2003,2.09
Sweden,SWE,2003,2.20
Norway,NOR,2003,2.13
Netherlands,NLD,2003,2.05
Luxembourg,LUX,2003,1.88
Iceland,ISL,2003,2.18
Colombia,COL,2004,-0.22
Mexico,MEX,2004,-0.27
Ghana,GHA,2004,0.04
Myanmar,MMR,2004,-1.63
Guatemala,GTM,2004,-0.74
Saudi Arabia,SAU,2004,-0.17
Brazil,BRA,2004,-0.08
Kenya,KEN,2004,-0.97
Bolivia,BOL,2004,-0.40
Russian Federation,RUS,2004,-1.01
Singapore,SGP,2004,2.24
Denmark,DNK,2004,2.45
New Zealand,NZL,2004,2.33
Finland,FIN,2004,2.40
Switzerland,CHE,2004,2.15
Sweden,SWE,2004,2.24
Norway,NOR,2004,1.99
Netherlands,NLD,2004,2.17
Luxembourg,LUX,2004,1.97
Iceland,ISL,2004,2.21
Colombia,COL,2005,-0.24
Mexico,MEX,2005,-0.24
Ghana,GHA,2005,-0.07
Myanmar,MMR,2005,-1.62
Guatemala,GTM,2005,-0.65
Saudi Arabia,SAU,2005,-0.01
Brazil,BRA,2005,0.01
Kenya,KEN,2005,-1.06
Bolivia,BOL,2005,-0.52
Russian Federation,RUS,2005,-1.11
