Continent,Year,Democracy_Index,Income_per_capita,Invest_%,Tax_%_GDP,Gini_index
Africa,2006,44.05833333,6299.208333,19.49458333,16.61541667,43.0125
Africa,2007,49.99166667,6954.291667,23.60458333,19.69625,47.04166667
Africa,2008,48.55833333,7291.916667,23.54333333,20.66875,47.42916667
Africa,2009,51.4625,7410.791667,26.08291667,20.80666667,51.09583333
Africa,2010,57.10416667,7452.958333,30.24583333,21.13958333,56.2375
Africa,2011,56.12916667,7437.625,28.70416667,20.72875,52.725
Africa,2012,55.91666667,7038.25,28.54166667,20.255,49.5875
Africa,2013,43.99583333,5567.958333,21.75833333,15.39083333,38.5625
Africa,2014,41.62916667,5507.916667,19.6375,14.84583333,35.48333333
Africa,2015,40.9,5351.666667,19.28125,14.76625,36.05
Africa,2016,38.675,3812.916667,16.12916667,13.43333333,33.05833333
Americas,2006,73.53125,14767.5,22.93125,16.225,52.21875
Americas,2007,73.9125,15261.875,25.4375,16.73125,51.80625
Americas,2008,73.73125,15976.875,27.1375,15.6,51.5625
Americas,2009,73.4375,13416.25,22.59375,15.06125,51.5
Americas,2010,74.2125,16151.875,21.98125,14.7525,49.8125
Americas,2011,70.15625,16268.125,22.9875,14.369375,47.31875
Americas,2012,70.8125,16508.75,23.06875,14.924375,47.14375
Americas,2013,74.0375,17643.125,25.20625,15.099375,49.70625
Americas,2014,74.60625,17506.25,22.76875,15.46875,48.3875
Americas,2015,74.3875,17751.875,22.49375,15.64375,48.1375
Americas,2016,75.18125,18144.375,21.875,16.28125,47.675
Asia,2006,49.98214286,20902.5,28.82142857,12.51785714,39.44285714
Asia,2007,50.13214286,21901.78571,30.26785714,12.60928571,38.75714286
Asia,2008,51.73571429,21671.42857,30.94285714,12.387,38.83928571
Asia,2009,51.30357143,21379.28571,28.875,11.97717857,38.82142857
Asia,2010,53.84285714,22533.21429,28.86142857,12.68103571,37.66428571
Asia,2011,50.53928571,18262.14286,29.43928571,12.82214286,37.77142857
Asia,2012,47.96071429,15957.85714,28.98571429,13.12453571,37.56071429
Asia,2013,49.78214286,19853.57143,29.61428571,13.46253571,37.40714286
Asia,2014,50.03928571,19446.07143,27.84642857,13.27607143,36.90357143
Asia,2015,51.58928571,18981.78571,29.01785714,13.07057143,37.01071429
Asia,2016,55.025,17840,28.39285714,12.99241786,36.56785714
Oceania,2006,80.93513514,32581.89189,26.87567568,22.39,32.54594595
Oceania,2007,80.23243243,33107.56757,28.10810811,22.78783784,32.48648649
Oceania,2008,71.27837838,15902.97297,23.92702703,14.97513514,48.15405405
Oceania,2009,71.1972973,16179.45946,22.25135135,15.30540541,46.90540541
Oceania,2010,61.62972973,19292.97297,25.01891892,13.54783784,42.67837838
Oceania,2011,50.39189189,22779.18919,29.02432432,12.61054054,38.90810811
Oceania,2012,49.84864865,19165.94595,31.11891892,11.96286486,38.13513514
Oceania,2013,51.04054054,21762.43243,28.30810811,12.42621622,37.75135135
Oceania,2014,50.84324324,19822.97297,28.48972973,12.87,37.41621622
Oceania,2015,52.54324324,19266.21622,28.75945946,13.48343243,37.45945946
Oceania,2016,46.68918919,18726.75676,28.08108108,12.88083784,37.15405405
Europe,2006,90.5,35950,25.65,28.3,33.75
Europe,2007,90.95,36900,26.15,27.1,33.8
Europe,2008,91.4,36950,25.65,27.9,33.8
Europe,2009,91.9,36700,23.5,25.85,33.65
Europe,2010,92.4,36850,23.45,23.35,33.4
Europe,2011,92.4,37350,23.4,23,33.05
Europe,2012,92.4,38050,24.25,24,32.95
Europe,2013,91.95,38550,24.9,24.35,32.95
Europe,2014,91.35,39150,24.8,24.4,33.1
Europe,2015,91.35,39650,24.75,24.7,33.4
Europe,2016,91.35,40150,24.85,24.75,33.55
