Country,Percentage,Year
Afghanistan,42.7,2010
Albania,81.96941,2010
Algeria,98.87762451,2010
American Samoa,81.96941,2010
Andorra,100,2010
Angola,33.39371109,2010
Antigua and Barbuda,98.48865509,2010
Argentina,98.82,2010
Armenia,99.8,2010
Aruba,93.35629215,2010
Australia,100,2010
Austria,100,2010
Azerbaijan,99.93829346,2010
"Bahamas, The",100,2010
Bahrain,100,2010
Bangladesh,55.26,2010
Barbados,100,2010
Belarus,100,2010
Belgium,100,2010
Belize,89.91722437,2010
Benin,34.2,2010
Bermuda,100,2010
Bhutan,73.28291087,2010
Bolivia,88.0331955,2010
Bosnia and Herzegovina,100,2010
Botswana,52.68436813,2010
Brazil,98.97673798,2010
British Virgin Islands,98.58357239,2010
Brunei Darussalam,100,2010
Bulgaria,100,2010
Burkina Faso,13.1,2010
Burundi,5.3,2010
Cabo Verde,81.1,2010
Cambodia,31.1,2010
Cameroon,53.25836563,2010
Canada,100,2010
Cayman Islands,100,2010
Central African Republic,9.8,2010
Chad,6.4,2010
Channel Islands,81.96941,2010
Chile,99.38300323,2010
China,99.7,2010
Colombia,96.788995,2010
Comoros,70.10408783,2010
"Congo, Dem. Rep.",12.68352604,2010
"Congo, Rep.",42.3396759,2010
Costa Rica,98.995734,2010
Cote d'Ivoire,57.73642731,2010
Croatia,100,2010
Cuba,97.81319427,2010
Curacao,100,2010
Cyprus,100,2010
Czech Republic,100,2010
Denmark,100,2010
Djibouti,55.95172882,2010
Dominica,94.0019989,2010
Dominican Republic,98.145414,2010
Ecuador,97.462142,2010
"Egypt, Arab Rep.",99.15289307,2010
El Salvador,91.580238,2010
Equatorial Guinea,81.96941,2010
Eritrea,39.76383972,2010
Estonia,100,2010
Eswatini,45.55233761,2010
Ethiopia,33.17653275,2010
Faroe Islands,100,2010
Fiji,89.00692749,2010
Finland,100,2010
France,100,2010
French Polynesia,100,2010
Gabon,92.23134613,2010
"Gambia, The",47.27401352,2010
Georgia,99.33270264,2010
Germany,100,2010
Ghana,64.2,2010
Gibraltar,100,2010
Greece,100,2010
Greenland,100,2010
Grenada,89.59366608,2010
Guam,100,2010
Guatemala,84.07359314,2010
Guinea,27.32691574,2010
Guinea-Bissau,6,2010
Guyana,82.39784241,2010
Haiti,37.44306183,2010
Honduras,80.984668,2010
"Hong Kong SAR, China",100,2010
Hungary,100,2010
Iceland,100,2010
India,76.3,2010
Indonesia,94.15,2010
"Iran, Islamic Rep.",99.01898193,2010
Iraq,98.12579346,2010
Ireland,100,2010
Isle of Man,100,2010
Israel,100,2010
Italy,100,2010
Jamaica,92.2,2010
Japan,100,2010
Jordan,98.96749115,2010
Kazakhstan,99.51784515,2010
Kenya,19.2,2010
Kiribati,63.16773671,2010
"Korea, Dem. People’s Rep.",29.46452141,2010
"Korea, Rep.",100,2010
Kosovo,99,2010
Kuwait,100,2010
Kyrgyz Republic,99,2010
Lao PDR,70.61399078,2010
Latvia,100,2010
Lebanon,99.87825775,2010
Lesotho,17,2010
Liberia,5.189858437,2010
Libya,81.38815308,2010
Liechtenstein,100,2010
Lithuania,100,2010
Luxembourg,100,2010
"Macao SAR, China",100,2010
Madagascar,17.55283165,2010
Malawi,8.7,2010
Malaysia,99.23118591,2010
Maldives,99.10932922,2010
Mali,27.83357048,2010
Malta,100,2010
Marshall Islands,88.98891449,2010
Mauritania,33.66743088,2010
Mauritius,100,2010
Mexico,99.236696,2010
"Micronesia, Fed. Sts.",64.53152025,2010
Moldova,100,2010
Monaco,100,2010
Mongolia,78.50208044,2010
Montenegro,100,2010
Morocco,91.5135498,2010
Mozambique,17.99006462,2010
Myanmar,48.8,2010
Namibia,44.42262268,2010
Nauru,99.00691986,2010
Nepal,68.6,2010
Netherlands,100,2010
New Caledonia,100,2010
New Zealand,100,2010
Nicaragua,79.06764984,2010
Niger,12.93489265,2010
Nigeria,48,2010
North Macedonia,100,2010
Northern Mariana Islands,100,2010
Norway,100,2010
Oman,100,2010
Pakistan,70.42184448,2010
Palau,98.47136688,2010
Panama,86.85,2010
Papua New Guinea,19.5,2010
Paraguay,97.43086,2010
Peru,88.123061,2010
Philippines,85.22190094,2010
Poland,100,2010
Portugal,100,2010
Puerto Rico,100,2010
Qatar,100,2010
Romania,100,2010
Russian Federation,100,2010
Rwanda,9.7,2010
Samoa,96.69391632,2010
San Marino,100,2010
Sao Tome and Principe,60.37090302,2010
Saudi Arabia,100,2010
Senegal,56.5,2010
Serbia,99.718398,2010
Seychelles,97,2010
Sierra Leone,11.46217307,2010
Singapore,100,2010
Sint Maarten (Dutch part),100,2010
Slovak Republic,100,2010
Slovenia,100,2010
Solomon Islands,33.89525986,2010
Somalia,21.01045036,2010
South Africa,82.9,2010
South Sudan,1.5,2010
Spain,100,2010
Sri Lanka,85.3,2010
St. Kitts and Nevis,99.71385193,2010
St. Lucia,94.2,2010
St. Martin (French part),64.35,2010
St. Vincent and the Grenadines,92.63433075,2010
Sudan,40.5594101,2010
Suriname,91.19751586,2010
Sweden,100,2010
Switzerland,100,2010
Syrian Arab Republic,92.7,2010
Tajikistan,98.42938995,2010
Tanzania,14.8,2010
Thailand,99.7,2010
Timor-Leste,38,2010
Togo,30.79174368,2010
Tonga,92.12845612,2010
Trinidad and Tobago,100,2010
Tunisia,99.5,2010
Turkey,100,2010
Turkmenistan,100,2010
Turks and Caicos Islands,100,2010
Tuvalu,97.01654053,2010
Uganda,12.1,2010
Ukraine,100,2010
United Arab Emirates,100,2010
United Kingdom,100,2010
United States,100,2010
Uruguay,99.13176727,2010
