Country,Percentage
Afghanistan,54.5269
Albania,54.5269
Algeria,54.5269
Andorra,100
Angola,20
Argentina,95.51106347
Armenia,100
Australia,100
Austria,100
Azerbaijan,98.63769531
Bahrain,100
Bangladesh,35.16051102
Barbados,100
Belarus,100
Belgium,100
Belize,80.36300659
Benin,21.9
Bhutan,40.19872284
Bolivia,69.258539
Botswana,24.8
Brazil,96.016528
Brunei,100
Bulgaria,100
Burkina Faso,9.626935959
Burundi,3.327531099
Cabo Verde,54.5269
Cambodia,15.50851536
Cameroon,46.2
Canada,100
Central African Republic,6.088635921
Chad,3.150154591
Chile,97.17362976
China,97.21813965
Colombia,94.22931671
Comoros,54.5269
Costa Rica,98.24978
Cote d'Ivoire,49.34519958
Croatia,100
Cuba,96.22530365
Cyprus,100
Denmark,100
Djibouti,56.41478348
Dominica,82.35340881
Dominican Republic,89.791362
Ecuador,93.90853882
Egypt,97.38194275
El Salvador,87.063829
Equatorial Guinea,54.5269
Eritrea,30.34046555
Estonia,100
Eswatini,26.9
Ethiopia,25.5699501
Fiji,77.07283783
Finland,100
France,100
Gabon,76.50157166
Georgia,54.5269
Germany,100
Ghana,46.63143539
Greece,100
Greenland,100
Grenada,86.38331604
Guatemala,73.78378296
Guinea,16.77805328
Guyana,75.15128326
Haiti,31.542382
Honduras,64.2
Hungary,100
Iceland,100
India,55.8
Indonesia,86.26
Iran,97.80780792
Iraq,54.5269
Ireland,100
Israel,100
Italy,100
Jamaica,87.708112
Japan,100
Jordan,98.76973724
Kazakhstan,99.17958832
Kenya,17.53032303
Kiribati,54.5269
"Korea, South",100
Kosovo,54.5269
Kuwait,100
Laos,45.90603256
Latvia,100
Lebanon,54.5269
Lesotho,1.413913012
Liberia,54.5269
Libya,97.0607605
Liechtenstein,100
Lithuania,100
Luxembourg,100
Madagascar,14.8
Malawi,5.110165119
Malaysia,54.5269
Maldives,87.53334045
Mali,10.8
Malta,100
Mauritania,22.2
Mauritius,99.45147705
Mexico,97.18790436
Moldova,54.5269
Monaco,100
Mongolia,71.79318237
Montenegro,54.5269
Morocco,71.6749649
Mozambique,5.7
Myanmar,54.5269
Namibia,36.02933884
Nepal,24.6
Netherlands,100
New Zealand,100
Nicaragua,72.22158
Niger,8.43174839
Nigeria,43.74224091
North Macedonia,54.5269
Norway,100
Oman,100
Pakistan,70.43138123
Palau,54.5269
Panama,81.91949463
Papua New Guinea,10.78001499
Paraguay,91.04207
Peru,72.113111
Philippines,75.86803436
Poland,100
Portugal,100
Puerto Rico,100
Qatar,100
Romania,100
Russia,100
Rwanda,5.644247532
San Marino,100
Sao Tome and Principe,52.20650864
Saudi Arabia,100
Senegal,38.86329269
Serbia,54.5269
Seychelles,94.40617371
Sierra Leone,54.5269
Singapore,100
Slovakia,100
Slovenia,100
Somalia,54.5269
South Africa,70.2
South Sudan,54.5269
Spain,100
Sri Lanka,63.6
Sudan,33.33629608
Suriname,95.48371887
Sweden,100
Switzerland,100
Syria,54.5269
Tajikistan,98.67375183
Tanzania,10.35097408
Thailand,89.42684937
Timor-Leste,25.6
Togo,19.71039581
Trinidad and Tobago,96.54967499
Tunisia,97.3
Turkey,54.5269
Uganda,8.6
Ukraine,54.5269
United Arab Emirates,100
United Kingdom,100
United States of America,100
Uruguay,98.5716095
Uzbekistan,99.6661911
Vietnam,88.09648132
Zambia,19.96388245
Zimbabwe,34.26308441
