Country Name,Percentage,Year
Afghanistan,98.71320343,2018
Albania,100,2018
Algeria,100,2018
American Samoa,81.96941,2018
Andorra,100,2018
Angola,43.25925827,2018
Antigua and Barbuda,100,2018
Argentina,100,2018
Armenia,100,2018
Aruba,100,2018
Australia,100,2018
Austria,100,2018
Azerbaijan,100,2018
"Bahamas, The",100,2018
Bahrain,100,2018
Bangladesh,85.16042328,2018
Barbados,100,2018
Belarus,100,2018
Belgium,100,2018
Belize,99.54001617,2018
Benin,41.52923965,2018
Bermuda,100,2018
Bhutan,100,2018
Bolivia,95.5853653,2018
Bosnia and Herzegovina,100,2018
Botswana,64.85172272,2018
Brazil,100,2018
British Virgin Islands,100,2018
Brunei Darussalam,100,2018
Bulgaria,100,2018
Burkina Faso,14.4,2018
Burundi,11.02425194,2018
Cabo Verde,93.58599854,2018
Cambodia,91.55067444,2018
Cameroon,62.66007233,2018
Canada,100,2018
Cayman Islands,100,2018
Central African Republic,32.42039871,2018
Chad,11.75935555,2018
Channel Islands,81.96941,2018
Chile,100,2018
China,100,2018
Colombia,99.93644714,2018
Comoros,81.92275238,2018
"Congo, Dem. Rep.",18.97766113,2018
"Congo, Rep.",68.51843262,2018
Costa Rica,100,2018
Cote d'Ivoire,66.99118042,2018
Croatia,100,2018
Cuba,100,2018
Curacao,100,2018
Cyprus,100,2018
Czech Republic,100,2018
Denmark,100,2018
Djibouti,60.39544678,2018
Dominica,100,2018
Dominican Republic,100,2018
Ecuador,100,2018
"Egypt, Arab Rep.",100,2018
El Salvador,100,2018
Equatorial Guinea,67.03250122,2018
Eritrea,49.61554337,2018
Estonia,100,2018
Eswatini,76.50398254,2018
Ethiopia,44.97995758,2018
Faroe Islands,100,2018
Fiji,99.5933609,2018
Finland,100,2018
France,100,2018
French Polynesia,100,2018
Gabon,93.03568268,2018
"Gambia, The",60.3,2018
Georgia,100,2018
Germany,100,2018
Ghana,82.39457703,2018
Gibraltar,100,2018
Greece,100,2018
Greenland,100,2018
Grenada,95.29198456,2018
Guam,100,2018
Guatemala,94.69546509,2018
Guinea,44,2018
Guinea-Bissau,28.66202164,2018
Guyana,91.84952545,2018
Haiti,45.27788925,2018
Honduras,91.88720703,2018
"Hong Kong SAR, China",100,2018
Hungary,100,2018
Iceland,100,2018
India,95.2358551,2018
Indonesia,98.51,2018
