Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Female,6.335726,6.746629,4.411310196,4.137720108,7.073396,7.128346,6.915052,7.1397,6.411980152,7.451479,7.226290226,7.518429,7.347691,7.817100048,7.85218,7.693972,7.708672,7.716469765
Albania,Female,10.79098988,6.746629,6.808572,11.01111984,11.52624035,11.70514011,12.19225979,12.34819984,12.62082005,13.38677025,14.1151104,15.02785015,15.42998981,15.78334999,15.60177994,15.40505981,15.51123047,15.50102997
Algeria,Female,6.335726,6.746629,6.808572,12.06363964,12.39492035,12.46570969,12.76791,7.1397,13.69353008,14.21949005,14.57748985,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
American Samoa,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Andorra,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Angola,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.50617981,7.286789894,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Antigua and Barbuda,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,16.02486038,7.1397,15.35406017,15.25232983,14.80840969,15.65756989,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Arab World,Female,8.89633,9.11091,9.299,9.49509,9.81661,9.90369,9.93671,10.0881,10.16005,10.33187,10.45461,10.76462,10.78224,10.93831,11.13622,11.20071,11.3248,11.48208
Argentina,Female,16.82045937,16.96915054,16.93465996,16.92638016,16.73185921,17.05854034,17.11263084,17.3306694,17.66184044,17.92071915,18.2639904,18.18490982,18.20256996,18.43400955,18.60601997,18.88973999,18.90872955,7.138186
Armenia,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,12.97066975,12.69365025,13.21605968,13.35496998,13.39542007,7.518429,13.41596031,13.47136021,13.37271976,7.693972,7.708672,13.60293007
