Gender,Year,Expected Number
Male,2001,9.277637119
Male,2002,9.700353463
Male,2003,9.833923074
Male,2004,10.02420819
Male,2005,10.02792407
Male,2006,10.04263514
Male,2007,9.878333049
Male,2008,10.05253294
Male,2009,10.34140955
Male,2010,10.41900436
Male,2011,10.63994675
Male,2012,10.51946467
Male,2013,10.38554408
Male,2014,10.62594817
Male,2015,10.88768346
Male,2016,10.84913425
Male,2017,10.87362658
Male,2018,10.3477222
Female,2001,9.162114857
Female,2002,9.592182274
Female,2003,9.698489593
Female,2004,9.839261752
Female,2005,9.96131511
Female,2006,10.09029499
Female,2007,9.950841379
Female,2008,10.1384099
Female,2009,10.43669299
Female,2010,10.56142679
Female,2011,10.69840803
Female,2012,10.73005604
Female,2013,10.68800547
Female,2014,10.85621711
Female,2015,11.21264638
Female,2016,11.18213096
Female,2017,11.20458677
Female,2018,10.73511652
,,
