Location,Fatalities,Injured,Total victims
"Las Vegas, NV",58,515,573
"San Francisco, CA",3,2,5
"Tunkhannock, PA",3,0,3
"Orlando, Florida",5,0,5
"Kirkersville, Ohio",3,0,3
"Fresno, California",3,0,3
"Fort Lauderdale, Florida",5,6,11
"Burlington, WA",5,0,5
"Baton Rouge, LA",3,3,6
"Dallas, Texas",5,11,16
"Orlando, Florida",49,53,102
"Ferguson, Missouri",0,4,4
"42486, ",1,4,5
"42484, ",0,6,6
"42481, ",0,4,4
"42479, ",1,4,5
"42479, ",4,0,4
"42479, ",1,4,4
"42478, ",0,3,4
"42469, ",0,4,4
"42469, ",0,4,4
"42467, ",0,5,5
"42461, ",3,1,3
"Richmond, Virginia",2,2,3
"Louisburg, North Carolina",3,0,3
"Lawrenceburg, Tennessee",2,2,3
"42454, ",2,2,3
"Sherman, Texas",4,0,3
"42450, ",4,0,3
"Louisville, Kentucky",4,0,3
"42449, ",4,0,3
"Plantation, Florida",1,4,5
"42448, ",2,2,4
"42448, ",1,4,5
"42444, ",0,4,4
"42442, ",0,4,4
"42441, ",2,2,3
"42440, ",0,5,5
"42440, ",2,2,4
"Pittsburgh, Pennsylvania",6,3,9
"42438, ",5,3,8
"Kansas City, Kansas",5,0,5
"42436, ",0,4,4
"42436, ",4,0,4
"Chelsea, Massachusetts",1,6,7
"42435, ",1,6,7
"42435, ",0,4,4
"42434, ",0,4,4
"42428, ",0,5,5
"42428, ",1,3,4
"Woodbridge,  Virginia",2,2,4
"Belfair, Washington",5,0,4
"Hesston, Kansas",3,14,17
"Hesston, Kansas",4,14,17
"42425, ",5,0,4
"Glendale, Arizona",5,0,4
"42423, ",5,0,4
"42421, ",1,3,4
"42421, ",0,5,5
"Kalamazoo County, Michigan",6,2,8
"Iuka, Mississippi",2,3,4
"Kalamazoo, Michigan",6,2,8
"42420, ",1,3,4
"42420, ",6,2,8
"42419, ",2,2,4
"42409, ",0,3,3
"Orlando, Florida",2,10,12
"42407, ",1,7,8
"42406, ",2,6,8
"42406, ",1,3,4
"42406, ",4,0,3
"42400, ",0,3,3
"42399, ",3,5,8
"42398, ",2,2,3
"Chesapeake, Virginia",6,0,5
"42396, ",6,0,5
"42394, ",1,4,5
"42392, ",3,0,3
"42392, ",2,2,4
"42386, ",1,3,4
"42380, ",1,4,5
"42376, ",1,3,4
"42375, ",3,1,4
"Omaha, Nebraska",2,3,5
"San Bernardino, California",14,21,35
"San Bernardino, California",16,21,35
"Colorado Springs, Colorado",3,9,12
"Colorado Springs, Colorado",3,9,12
"Columbus, Ohio",4,1,4
"Minneapolis, Minnesota",0,5,5
"Tennessee Colony, Texas",6,0,6
"Jacksonville, Florida",4,1,4
"Waycross, Georgia",1,2,3
"Oakland, Maine",4,0,3
"Colorado Springs, Colorado",3,0,3
"Colorado Springs, Colorado",4,0,3
"Colerain Township, Ohio",2,1,3
"Flagstaff, Arizona",1,3,4
"Roseburg, Oregon",9,9,18
"Roseburg, Oregon",10,7,16
"Inglis, Florida",3,1,3
"Greenville, Georgia",0,10,10
"Platte, South Dakota",6,0,5
"Clearbrook (Greenwood), Minnesota",5,0,4
"Bristol, Tennessee",3,1,4
"Roanoke, Virginia",3,1,3
"Rochester, New York",3,4,7
"Houston, Texas",8,0,8
"Lafayette, Louisiana",3,9,11
"Suwanee, Georgia",4,1,4
"Chattanooga, Tennessee",5,2,7
"Chattanooga, Tennessee",5,3,7
"River Forest, Illinois",2,3,4
"Morven, North Carolina",0,4,4
"Charleston, South Carolina",9,1,10
"Charleston, South Carolina",9,0,9
"Miami Gardens, Florida",0,4,4
"Menasha, Wisconsin",3,1,4
"Deer Lodge, Montana",5,0,4
"Cleveland, Ohio",3,1,3
"Conyers, Georgia",3,2,4
"Decatur, Illinois",1,4,5
"Tucson, Arizona",5,0,4
"Newark, New Jersey",1,3,4
"Menasha, Wisconsin",4,1,4
"Milwaukee, Wisconsin",2,3,5
"Gates, New York",1,6,7
"Killeen, Texas",2,3,5
"Phoenix, Arizona",5,0,4
"Rome, Georgia",1,3,4
"Indianapolis, Indiana",0,5,5
"Daytona Beach, Florida",0,4,4
"Tulsa, Oklahoma",4,0,3
"Panama City Beach, Florida",0,7,7
"Little Water, New Mexico",2,2,3
"Mesa, Arizona",1,5,6
"Cottonwood, Alabama",3,1,3
"Brookhaven, Mississippi",2,3,5
"Tarboro, North Carolina",4,0,3
"Birmingham, Alabama",1,2,3
"Tyrone, Missouri",8,1,8
"Charlotte, North Carolina",3,0,3
"Clarkesville, Georgia",3,2,4
"Killeen, Texas",4,1,4
"Chapel Hill, North Carolina",3,0,3
"New Port Richey, Florida",3,1,4
"Monroeville, Pennsylvania",0,3,3
"Douglasville, Georgia",5,2,6
"King, North Carolina",4,0,3
"Syracuse, New York",0,6,6
"LaGrange, Georgia",5,0,5
"New York City, New York",4,1,4
"Omaha, Nebraska",3,5,8
"Moscow, Idaho",3,1,4
"Memphis, Tennessee",0,5,5
"Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",7,1,7
"Morgantown, West Virginia",5,0,4
"Tallahassee, Florida",1,3,3
"Marysville, Washington",5,1,6
"Marysville, Washington",5,1,5
"Albuquerque, New Mexico",2,3,4
"New Orleans, Louisiana",1,9,10
"Las Vegas, Nevada",5,0,3
"Seattle, Washington",1,2,3
"Santa Barbara, California",6,13,19
"Isla Vista, California",7,7,10
"Kennesaw, Georgia",1,6,6
"Fort Hood, Texas",3,12,15
"Killeen, Texas",4,16,19
"San Francisco, CA",0,8,8
"Alturas, California",4,2,6
"Alturas, California",4,2,6
"Montgomery, Alabama",3,5,8
"Los Angeles, California",1,3,4
"Sparks, Nevada",2,2,3
"Washington, D.C.",12,8,20
Washington D.C.,13,3,15
"Oklahoma City, Oklahoma",4,0,4
"Dallas, Texas",4,4,8
"Salisbury , Pennsylvania",3,3,6
"Hialeah, Florida",7,0,7
"Hialeah, Florida",7,0,6
"Santa Monica, California",6,3,9
"Santa Monica, California",6,3,8
"Manchester, Illinois",7,1,7
"Federal Way, Washington",5,0,5
"Federal Way, Washington",5,0,4
"Herkimer County, New York",5,2,7
"Mohawk, New York",5,2,6
"Ladera Ranch, California",4,3,6
"Irvine, California",4,2,7
"Phoenix, Arizona",3,1,3
"South Valley, Albuquerque, New Mexico",5,0,5
"Newtown, Connecticut",28,2,30
"Newtown, Connecticut",28,2,29
"Happy Valley, Oregon",3,1,3
"Brookfield, Wisconsin",4,4,7
"Miami, Florida",0,15,15
"Minneapolis, Minnesota",7,1,8
"Minneapolis, Minnesota",7,2,8
"Oak Creek, Wisconsin",7,3,10
"Oak Creek, Wisconsin",7,4,10
"Aurora, Colorado",12,70,82
"Denver, Colorado",12,58,70
"Auburn, Alabama",3,3,6
"Seattle, Washington",6,1,6
"Seattle, Washington",6,1,7
"Tulsa, Oklahoma",3,2,5
"Oakland, California",7,3,10
"Oakland, California",7,3,10
"Chardon, Ohio",3,3,6
"Norcross, Georgia",5,0,5
"Norcross, Georgia",5,0,4
"Birmingham, Alabama",5,0,5
