LATITUDE,LONGITUDE,DEATHS
5.283,95.247,0
5.355,95.242,0
5.436,95.235,0
5.479,95.249,0
5.572,95.325,0
5.584,95.347,0
5.571,95.325,0
5.575,95.326,0
5.593,95.367,0
5.55,95.304,0
5.562,95.317,0
5.594,95.335,0
5.588,95.361,0
5.552,95.294,0
5.537,95.284,0
5.605,95.387,0
5.584,95.349,0
1.825,73.495,0
8.734,98.225,0
1.932,73.552,0
8.729,98.226,0
1.923,73.551,0
8.57,98.224,0
1.923,73.55,0
8.611,98.238,0
4.443,73.715,0
8.675,98.242,0
4.443,73.715,0
8.671,98.243,0
4.444,73.714,0
8.7,98.24,0
4.333,73.599,0
8.7,98.24,0
4.334,73.601,0
8.736,98.222,0
4.327,73.597,0
5.497,95.262,0
6.874,81.844,0
6.933,79.85,10
5.497,95.262,0
6.976,81.864,0
4.18,73.52,0
5.575,95.325,0
7.209,81.86,0
4.195,73.526,0
5.594,95.371,0
5.826,95.347,0
5.541,95.305,0
7.173,81.86,0
5.576,95.345,0
7.25,81.864,0
4.18,73.52,0
5.481,95.244,0
7.289,81.866,0
6.933,79.85,0
5.611,95.391,0
7.384,81.848,0
8.567,81.233,0
5.614,95.398,0
7.404,81.842,0
4.167,96.15,0
7.521,81.806,0
5.501,95.246,0
4.172,73.502,0
7.584,81.79,0
5.614,95.398,0
5.588,95.358,0
5.561,95.311,0
5.549,95.302,0
5.59,95.389,0
5.482,95.265,0
5.489,95.264,0
5.576,95.327,0
5.595,95.371,0
5.536,95.282,0
9.49,76.33,0
9.0833,76.4833,130
5.463,95.242,0
10.674,79.851,131
8.088306,77.4865,0
5.5,95.227,0
10.015,76.22,5
10.82,79.85,0
5.472,95.243,0
8.5069,76.9569,0
10.9167,79.8333,265
7.217,93.7,0
5.472,95.243,0
4.18,73.52,0
8.108028,77.403722,0
8.567,81.233,0
0.565796,97.820721,0
5.556,95.237,0
-12.117,96.883,0
8.567,81.217,0
8.175194,77.306278,0
5.826,95.347,0
5.547,95.236,0
4.129,96.129,0
7.717,81.7,0
8.905,88.54,0
5.58175,95.364028,0
5.546,95.234,0
9.29,79.21,0
5.599722,95.391,0
5.478,95.24,0
8.567,81.222,0
5.602861,95.396306,0
5.555,95.236,0
1.2667,97.5667,0
5.471,95.253,0
5.604694,95.38775,0
4.167,96.15,0
5.597222,95.396667,0
-0.066667,97.86667,0
5.5,95.246,0
5.560556,95.3075,0
5.489,95.235,0
2.28,97.79,20
2.82344,95.75611,0
6.717,79.902,0
-0.066667,97.86667,750
2.82175,95.75933,0
5.557361,95.285556,0
5.543,95.242,0
6.755,79.89,0
2.82056,95.75992,0
6.756,79.89,0
2.28,97.79,0
5.561944,95.305556,0
5.501,95.233,0
2.63827,95.80293,0
-12.117,96.883,0
5.554,95.319,0
11.027,79.855833,0
5.474,95.255,0
2.38757,96.33693,0
5.46,95.246,0
10.774617,79.8465,0
5.496,95.235,0
5.551,95.304,0
2.38467,96.33572,0
10.763083,79.8488,0
5.494,95.235,0
5.453,95.245,0
1.8242,73.49506,0
5.551,95.304,0
1.82463,73.4952,0
10.763083,79.8488,0
5.474,95.244,0
1.93235,73.6,4
5.469,95.24,0
1.92293,73.5498,0
4.44435,73.7148,0
8.905,88.54,0
2.34927,96.37575,0
4.44392,73.71365,0
7.235,79.841,0
4.33356,73.60093,0
4.24918,73.53676,0
10.393283,79.8669,0
1.8324,73.50333,0
6.255,88.792,0
1,97.9,0
5.462,95.243,0
1.48436,97.34708,0
2.28,97.79,0
7.155,79.828,0
5.68099,95.06124,0
5.496,95.229,0
1.26169,97.23066,0
5.68131,95.06303,0
5.533,95.304,0
5.68139,95.06414,0
5.68139,95.06414,0
7.086,79.828,0
5.366,95.2495,0
5.36333,95.25212,0
5.27572,95.24976,0
5.492,95.231,0
0.90433,97.28002,0
5.475,95.237,0
9.98,76.28,0
6.973,79.87,0
5.485,95.228,0
0.57842,97.73203,0
5.596,95.394,0
5.478,95.246,0
8.905,88.54,0
6.132,80.102,0
5.433,95.231,0
5.58,95.35,0
5.553,95.316,0
4.61644,95.62812,0
5.465,95.244,0
6.255,88.792,0
6.008,80.242,0
5.43,95.233,0
4.191,73.532,0
6.135,81.135,0
4.61974,95.6308,0
5.45,95.242,0
5.571,95.344,0
5.552,95.303,0
5.461,95.245,0
4.189,73.533,0
6.292,81.436,0
5.498,95.228,0
4.62073,95.63235,0
5.354,95.243,0
4.62082,95.63249,0
4.189,73.535,0
6.344,81.497,0
5.451,95.243,0
5.46,95.246,0
4.19,73.538,0
4.19453,73.52565,0
9.3,79.317,0
5.485,95.228,0
5.496,95.229,0
4.201,73.541,0
4.17208,73.50235,0
-12.13,96.88,0
5.499,95.229,0
4.201,73.545,0
4.16942,73.50581,0
1.5,97.2,200
5.456,95.246,0
4.121,73.436,0
5.482,95.236,0
5.351,95.246,0
4.1697,73.51338,0
4.123,73.438,0
5.477,95.235,0
5.429,95.234,0
5.631,95.405,0
5.52,95.272,0
5.472,95.242,0
5.54,95.307,0
5.562,95.344,0
5.422,95.244,0
5.579,95.351,0
5.562,95.344,0
6.054,80.212,0
5.558,95.321,0
6.124,81.127,0
5.567,95.344,0
4.129,96.129,0
5.478,95.265,0
5.595,95.385,0
5.573,95.342,0
5.594,95.371,0
5.48,95.244,0
5.27621,95.25104,0
5.531,95.288,0
5.27622,95.25139,0
5.594,95.371,0
4.9001,95.40208,0
5.598,95.39,0
4.90034,95.40256,0
5.579,95.351,0
4.89754,95.40444,0
